family,genus,species,n_sites,S02,S03,S04,S05,S06,S07,S09,S10,S11,S12,S13,S14,S15,S17,S19,S20,S21,S22,S23,S24,S28,S29,S30,S31,S32,S33,S34,S35,S37,S38,S39
Polygonaceae,Rumex,sp.,1,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiaceae,Polypodium,cambricum,5,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,X,X
Polypodiaceae,Polypodium,interjectum,2,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
Polypodiaceae,Polypodium,sp.,8,,,,X,,,,,,,,,,,,,,,,X,X,X,,X,X,,,X,,,X
Polypodiaceae,Polypodium,vulgare,6,,,,,,,,,,,X,,,,,,,,X,X,,,X,X,,X,,,,,
Ranunculaceae,Anemonoides,nemorosa,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Ficaria,verna,1,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Cotoneaster,dielsianus,1,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Crataegus,monogyna,1,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Crataegus,sp.,1,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Geum,sp.,1,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Prunus,padus,2,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Prunus,sp.,3,,,,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,
Rosaceae,Rubus,caesius,2,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,
Rosaceae,Rubus,fruticosus,2,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,
Rosaceae,Rubus,idaeus,1,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Rubus,sp.,1,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Rubus,vestitus,2,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,
Rosaceae,Sorbus,sp.,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubiaceae,Galium,aparine,4,,,X,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,
Rubiaceae,Galium,sp.,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapindaceae,Acer,campestre,1,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Sapindaceae,Acer,platanoides,1,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapindaceae,Acer,pseudoplatanus,6,,,X,,X,,X,X,,X,,,,,,,,,,X,,,,,,,,,,,
Sapindaceae,Acer,sp.,1,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Solanaceae,Solanum,dulcamara,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Symplocaceae,Symplocos,paniculata,1,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Ulmaceae,Ulmus,minor,2,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,
Ulmaceae,Ulmus,sp.,1,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Urticaceae,Urtica,dioica,5,,,X,,X,,,,X,,,,X,,X,,,,,,,,,,,,,,,,
Urticaceae,Urtica,sp.,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnaceae,Adoxa,moschatellina,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnaceae,Sambucus,nigra,7,,,X,,X,,X,X,X,,,,X,,X,,,,,,,,,,,,,,,,
