Species_Flora_Europaea;Species_POWO;Family;Endozoochorous;Epizoochorous;Thalassochorous;Anemochorous;Myrmecochorous;Vertebrate_hoarding;Freshwater Hydrochorous;Ballochorous;Further clarification needed;Tree_or_Shrub;Synonyms;References
Abies alba;Abies alba Mill.;Pinaceae;0;0;0;1;0;0;0;0;;1;;
Abies cephalonica;Abies cephalonica Loudon;Pinaceae;0;0;0;1;0;0;0;0;;1;;
Abies pinsapo;Abies pinsapo Boiss.;Pinaceae;0;0;0;1;0;0;0;0;;1;;
Abutilon theophrasti;Abutilon theophrasti Medik.;Malvaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Acantholimon androsaceum;Acantholimon androsaceum (Jaub. & Spach) Boiss.;Plumbaginaceae;0;0;0;0;0;0;0;0;;1;;
Acanthus balcanicus;Acanthus hungaricus (Borbás) Baen.;Acanthaceae;0;0;0;0;0;0;0;1;;0;;Koller D. (2011) The restless plant. Harvard University Press.
Acanthus mollis;Acanthus mollis L.;Acanthaceae;0;0;0;0;0;0;0;1;;0;;
Acanthus spinosus;Acanthus spinosus L.;Acanthaceae;0;0;0;0;0;0;0;1;;0;;
Acer campestre;Acer campestre L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer granatense;Acer granatense Boiss.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer heldreichii;Acer heldreichii Orph. ex Boiss.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer hyrcanum;Acer hyrcanum Fisch. & C.A.Mey.;Sapindaceae;0;0;0;1;0;0;0;0;;1;Acer reginae-amaliae;
Acer lobelii;Acer cappadocicum Gled.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer monspessulanum;Acer monspessulanum L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer opalus;Acer opalus Mill.;Sapindaceae;0;0;0;1;0;0;0;0;;1;Acer obtusatum;
Acer platanoides;Acer platanoides L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer pseudoplatanus;Acer pseudoplatanus L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer sempervirens;Acer sempervirens L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Acer tataricum;Acer tataricum L.;Sapindaceae;0;0;0;1;0;0;0;0;;1;;
Aceras anthropophorum;Orchis anthropophora (L.) All.;Orchidaceae;0;0;0;0;0;0;0;0;;0;;Aronne G. & Wilcock C.C. (1994) First evidence of myrmecochory in fleshy-fruited shrubs of the Mediterranean region. New Phytologist 127(4): 781-788
Achillea abrotanoides;Achillea abrotanoides (Vis.) Vis.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea absinthoides;Achillea absinthoides Halácsy;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea aegyptiaca;Achillea aegyptiaca L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea ageratifolia;Achillea ageratifolia (Sm.) Benth. & Hook.f.;Asteraceae ;0;0;0;0;0;0;0;0;;0;Achillea serbica;
Achillea ageratum;Achillea ageratum L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea ambrosiaca;Achillea ambrosiaca (Boiss. & Heldr.) Boiss.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea asplenifolia;Achillea aspleniifolia Vent.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea atrata;Achillea atrata L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea barbeyana;Achillea barbeyana Heldr. & Heimerl;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea barrelieri;Achillea barrelieri (Ten.) Sch.Bip.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea biebersteinii;Achillea arabica Kotschy;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea cartilaginea;Achillea salicifolia Besser ex DC.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea chamaemelifolia;Achillea chamaemelifolia Pourr.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea chrysocoma;Achillea chrysocoma Friv.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea clavennae;Achillea clavennae L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea clusiana;Achillea clusiana Tausch;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea clypeolata;Achillea clypeolata Sm.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea coarctata;Achillea coarctata Poir.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea cretica;Achillea cretica L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea crithmifolia;Achillea crithmifolia Waldst. & Kit.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea depressa;Achillea pseudopectinata Janka;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea distans;Achillea distans Waldst. & Kit. ex Willd.;Asteraceae ;0;0;0;0;0;0;0;0;;0;Achillea stricta;
Achillea erba-rotta;Achillea erba-rotta All.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea fraasii;Achillea fraasii Sch.Bip.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea getica;Achillea getica Grecescu;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea grandifolia;Achillea grandifolia Friv.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea holosericea;Achillea holosericea Sm.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea impatiens;Achillea impatiens L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea kotschyi;Achillea kotschyi Boiss.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea leptophylla;Achillea leptophylla M.Bieb.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea ligustica;Achillea ligustica All.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea lingulata;Achillea lingulata Waldst. & Kit.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea macrophylla;Achillea macrophylla L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea millefolium;Achillea millefolium L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;Achillea collina, Achillea monticola;
Achillea nana;Achillea nana L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea nobilis;Achillea nobilis L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea ochroleuca;Achillea ochroleuca Ehrh.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea odorata;Achillea odorata L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea oxyloba;Achillea oxyloba (DC.) Sch.Bip.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea pannonica;Achillea pannonica Scheele;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea ptarmica;Achillea ptarmica L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea pyrenaica;Achillea pyrenaica Sibth. ex Godr.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea santolinoides;Achillea santolinoides Lag.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea setacea;Achillea setacea Waldst. & Kit.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea stojanoffii;Achillea stojanoffii Prodan;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea thracica;Achillea thracica Velen.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea tomentosa;Achillea tomentosa L.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea umbellata;Achillea umbellata Sm.;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achillea virescens;Achillea virescens (Fenzl) Heimerl;Asteraceae ;0;0;0;0;0;0;0;0;;0;;
Achnatherum calamagrostis;Achnatherum calamagrostis (L.) P.Beauv.;Poaceae;0;0;0;1;0;0;0;0;;0;;
Achyranthes sicula;Achyranthes aspera L.;Amaranthaceae;0;1;0;0;0;0;0;0;;0;;
Acinos alpinus;Clinopodium alpinum (L.) Kuntze;Lamiaceae;0;0;0;0;0;0;0;0;;0;;Swarbrick J.T. (1971) External mucilage production by the seeds of British plants. Botanical Journal of the Linnean Society 64(2): 157-162
Acinos arvensis;Clinopodium acinos (L.) Kuntze;Lamiaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Acinos rotundifolius;Clinopodium graveolens (M.Bieb.) Kuntze;Lamiaceae;0;0;0;0;0;0;0;0;;0;;
Acinos suaveolens;Clinopodium suaveolens (Sm.) Kuntze;Lamiaceae;0;0;0;0;0;0;0;0;;0;;
Aconitum angustifolium;Aconitum angustifolium Bernh. ex Rchb.;Ranunculaceae;0;0;0;0;0;0;0;0;EPI?;0;;
Aconitum anthora;Aconitum anthora L.;Ranunculaceae;0;0;0;0;0;0;0;0;EPI?;0;;
Aconitum burnatii;Aconitum burnatii Gáyer;Ranunculaceae;0;0;0;0;0;0;0;0;EPI?;0;;
Aconitum dasytrichum;Aconitum lamarckii Rchb. ex Spreng.;Ranunculaceae;0;0;0;0;0;0;0;0;EPI?;0;;
Aconitum lycoctonum;Aconitum lycoctonum L.;Ranunculaceae;0;0;0;0;0;0;0;0;EPI?;0;;
Aconitum napellus;Aconitum napellus L.;Ranunculaceae;0;0;0;0;0;0;0;0;EPI?;0;;
Aconitum toxicum;Aconitum toxicum Rchb.;Ranunculaceae;0;0;0;0;0;0;0;0;EPI?;0;;
Aconitum variegatum;Aconitum variegatum L.;Ranunculaceae;0;0;0;0;0;0;0;0;EPI?;0;;
Actaea erythrocarpa;Actaea erythrocarpa (Fisch.) Kom.;Ranunculaceae;1;0;0;0;0;0;0;0;;0;;
Actaea spicata;Actaea spicata L.;Ranunculaceae;1;0;0;0;0;0;0;0;;0;;
Adenocarpus complicatus;Adenocarpus complicatus (L.) J.Gay;Fabaceae;0;1;0;0;0;0;0;1;EPI?;1;;López J., Devesa J.A., Ortega-Olivencia A. & Ruiz T. (2000) Production and morphology of fruit and seeds in Genisteae (Fabaceae) of south-west Spain. Botanical Journal of the Linnean Society 132: 97-120
Adenocarpus decorticans;Adenocarpus decorticans Boiss.;Fabaceae;0;1;0;0;0;0;0;1;EPI?;1;;
Adenocarpus hispanicus;Adenocarpus hispanicus (Lam.) DC.;Fabaceae;0;1;0;0;0;0;0;1;EPI?;1;;López J., Devesa J.A., Ortega-Olivencia A. & Ruiz T. (2000) Production and morphology of fruit and seeds in Genisteae (Fabaceae) of south-west Spain. Botanical Journal of the Linnean Society 132: 97-120
Adenocarpus telonensis;Adenocarpus telonensis (Loisel.) DC.;Fabaceae;0;1;0;0;0;0;0;1;EPI?;1;;López J., Devesa J.A., Ortega-Olivencia A. & Ruiz T. (2000) Production and morphology of fruit and seeds in Genisteae (Fabaceae) of south-west Spain. Botanical Journal of the Linnean Society 132: 97-120
Adenophora lilifolia;Adenophora liliifolia (L.) A.DC.;Campanulaceae;0;0;0;0;0;0;0;0;;0;;
Adenostyles alliariae;Adenostyles alliariae (Gouan) Kern.;Asteraceae ;0;0;0;1;0;0;0;0;;0;;
Adenostyles alpina;Adenostyles alpina (L.) Bluff & Fingerh.;Asteraceae ;0;0;0;1;0;0;0;0;;0;;
Adenostyles leucophylla;Adenostyles leucophylla Rchb.;Asteraceae ;0;0;0;1;0;0;0;0;;0;;
Adonis aestivalis;Adonis aestivalis L.;Ranunculaceae;0;0;0;0;1;0;0;0;MYR?;0;;Plant Diversity Analysis and Synthesis Centre <https://pladias.cz>
Adonis annua;Adonis annua L.;Ranunculaceae;0;0;0;0;1;0;0;0;MYR?;0;;Plant Diversity Analysis and Synthesis Centre <https://pladias.cz>
Adonis cyllenea;Adonis cyllenea Boiss., Heldr. & Orph.;Ranunculaceae;0;0;0;0;0;0;0;0;;0;;
Adonis distorta;Adonis distorta Ten.;Ranunculaceae;0;0;0;0;0;0;0;0;;0;;
Adonis flammea;Adonis flammea Jacq.;Ranunculaceae;0;0;0;0;1;0;0;0;MYR?;0;;Plant Diversity Analysis and Synthesis Centre <https://pladias.cz>
Adonis microcarpa;Adonis microcarpa DC.;Ranunculaceae;0;0;0;0;0;0;0;0;;0;;
Adonis pyrenaica;Adonis pyrenaica DC.;Ranunculaceae;0;0;0;0;0;0;0;0;;0;;
Adonis vernalis;Adonis vernalis L.;Ranunculaceae;0;0;0;0;1;0;0;0;;0;;Plant Diversity Analysis and Synthesis Centre <https://pladias.cz> | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
Adonis volgensis;Adonis volgensis Steven ex DC.;Ranunculaceae;0;0;0;0;0;0;0;0;;0;;
Adoxa moschatellina;Adoxa moschatellina L.;Viburnaceae;1;1;0;0;0;0;0;0;;0;;Ross-Craig S. (1960) Drawings of British plants. Part XIV Adoxaceae - Dipsacaceae. Bell, London.
Aegilops comosa;Aegilops comosa Sm.;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegilops cylindrica;Aegilops cylindrica Host;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegilops dichasians;Aegilops caudata L.;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegilops geniculata;Aegilops geniculata Roth;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegilops lorentii;Aegilops biuncialis Vis.;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegilops neglecta;Aegilops neglecta Req. ex Bertol.;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegilops speltoides;Aegilops speltoides Tausch;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegilops triuncialis;Aegilops triuncialis L.;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegilops uniaristata;Aegilops uniaristata Vis.;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegilops ventricosa;Aegilops ventricosa Tausch;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aegopodium podagraria;Aegopodium podagraria L.;Apiaceae;0;0;0;0;0;0;0;0;;0;;Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org> | Jongejans E. & Telenius A. (2001) Field experiments on seed dispersal by wind in ten umbelliferous species (Apiaceae). Plant Ecology 152: 67-78
Aeluropus littoralis;Aeluropus littoralis (Gouan) Parl.;Poaceae;0;0;1;0;0;0;0;0;THA?;0;;
Aesculus hippocastanum;Aesculus hippocastanum L.;Sapindaceae;0;0;0;0;0;1;0;0;;1;;
Aetheorhiza bulbosa;Aetheorhiza bulbosa (L.) Cass.;Asteraceae ;0;0;0;1;0;0;0;0;;0;;
Aethionema arabicum;Aethionema arabicum (L.) Andrz. ex DC.;Brassicaceae;0;0;0;0;0;0;0;0;;0;;
Aethionema carlsbergii;Aethionema carlsbergii Strid & Papan.;Brassicaceae;0;0;0;0;0;0;0;0;;0;;
Aethionema cordatum;Aethionema cordatum (Desf.) Boiss.;Brassicaceae;0;0;0;0;0;0;0;0;;0;;
Aethionema iberideum;Noccaea iberidea (Boiss.) Al-Shehbaz & Menke;Brassicaceae;0;0;0;0;0;0;0;0;;0;;
Aethionema orbiculatum;Aethionema orbiculatum (Boiss.) Hayek;Brassicaceae;0;0;0;0;0;0;0;0;;0;;
Aethionema retsina;Aethionema retsina Phitos & Snogerup;Brassicaceae;0;0;0;0;0;0;0;0;;0;;
Aethionema saxatile;Aethionema saxatile (L.) W.T.Aiton;Brassicaceae;0;0;0;0;0;0;0;0;;0;Aethionema polygaloides;
Aethionema thomasianum;Aethionema thomasianum J.Gay;Brassicaceae;0;0;0;0;0;0;0;0;;0;;
Aethusa cynapium;Aethusa cynapium L.;Apiaceae;0;0;0;0;0;0;0;0;;0;;Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org> | Jongejans E. & Telenius A. (2001) Field experiments on seed dispersal by wind in ten umbelliferous species (Apiaceae). Plant Ecology 152: 67-78
Agrimonia eupatoria;Agrimonia eupatoria L.;Rosaceae;0;1;0;0;0;0;0;0;;0;;
Agrimonia pilosa;Agrimonia pilosa Ledeb.;Rosaceae;0;1;0;0;0;0;0;0;;0;;
Agrimonia procera;Agrimonia procera Wallr.;Rosaceae;0;1;0;0;0;0;0;0;;0;;
Agropyron cristatum;Agropyron cristatum (L.) Gaertn.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agropyron dasyanthum;Agropyron dasyanthum Ledeb.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostemma githago;Agrostemma githago L.;Caryophyllaceae;0;0;0;0;0;0;0;0;;0;Agrostemma linicola;
Agrostemma gracilis;Agrostemma brachylobum (Fenzl) K.Hammer;Caryophyllaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis agrostiflora;Agrostis schraderiana Bech.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis alpina;Alpagrostis alpina (Scop.) P.M.Peterson, Romasch., Soreng & Sylvester;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis canina;Agrostis canina L.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis capillaris;Agrostis capillaris L.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis castellana;Agrostis castellana Boiss. & Reut.;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;Agrostis moldavica;Melendo M., Giménez E., Cano E., Gómez-Mercado F. & Valle F. (2003) The endemic flora in the south of the Iberian Peninsula: taxonomic composition, biological spectrum, pollination, reproductive mode and dispersal. Flora 198: 260-276 | Ridley H.N. (1930) The dispersal of plants throughout the world. L. Reeve & Co. Kent.
Agrostis clavata;Agrostis clavata Trin.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis curtisii;Alpagrostis setacea (Poir.) P.M.Peterson, Romasch., Soreng & Sylvester;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis delicatula;Agrostula truncatula (Parl.) P.M.Peterson, Romasch., Soreng & Sylvester;Poaceae;0;0;0;0;0;0;0;0;;0;Agrostis durieui;
Agrostis gigantea;Agrostis gigantea Roth;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis juressi;Agrostis juressi Link;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis mertensii;Agrostis mertensii Trin.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis nebulosa;Agrostis nebulosa Boiss. & Reut.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis nevadensis;Agrostis nevadensis Boiss.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis pourretii;Agrostis pourretii Willd.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis rupestris;Agrostis rupestris All.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis schleicheri;Alpagrostis schleicheri (Jord. & Verl.) P.M.Peterson, Romasch., Soreng & Sylvester;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis stolonifera;Agrostis stolonifera L.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis tenerrima;Agrostis tenerrima Trin.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Agrostis vinealis;Agrostis vinealis Schreb.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Aira caryophyllea;Aira caryophyllea L.;Poaceae;0;1;0;0;0;0;0;0;EPI?;0;;
Aira cupaniana;Aira cupaniana Guss.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Aira elegantissima;Aira elegans Willd. ex Roem. & Schult.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Aira praecox;Aira praecox L.;Poaceae;0;0;0;0;0;0;0;0;;0;;Hæggström C.-A., Carlsson R. & Hæggström E. (2012) The grass genus Aira in Finland. Memoranda - Societatis pro Fauna et Flora Fennica 88: 37-52
Aira provincialis;Aira provincialis Jord.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Aira tenorii;Aira tenorei Guss.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Aira uniaristata;Aira uniaristata Cav.;Poaceae;0;0;0;0;0;0;0;0;;0;;
Airopsis tenella;Airopsis tenella (Cav.) Coss. & Durieu;Poaceae;0;0;0;0;0;0;0;0;;0;;
Aizoon hispanicum;Aizoanthemopsis hispanica (L.) Klak;Aizoaceae;0;0;0;0;0;0;0;0;;0;;
Ajuga chamaepitys;Ajuga chamaepitys (L.) Schreb.;Lamiaceae;0;0;0;0;1;0;0;0;;0;Ajuga pseudochia, Ajuga suffrutescens;Ruiz de Clavijo E. & Devesa J.A. (2014) Cheirolopus Cass. In: Devesa J.A., Quintanar A. & García M.Á. (eds.) Flora iberica (Vol. XVI (1)). Real Jardín Botánico. CSIC. Madrid, pp. 298–304 | Plant Diversity Analysis and Synthesis Centre <https://pladias.cz> | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
Ajuga genevensis;Ajuga genevensis L.;Lamiaceae;0;0;0;0;1;0;0;0;;0;;Plant Diversity Analysis and Synthesis Centre <https://pladias.cz>
Ajuga iva;Ajuga iva (L.) Schreb.;Lamiaceae;0;0;0;0;1;0;0;0;;0;;Ruiz de Clavijo E. & Devesa J.A. (2014) Cheirolopus Cass. In: Devesa J.A., Quintanar A. & García M.Á. (eds.) Flora iberica (Vol. XVI (1)). Real Jardín Botánico. CSIC. Madrid, pp. 298–304 | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
Ajuga laxmannii;Ajuga laxmannii (L.) Benth.;Lamiaceae;0;0;0;0;1;0;0;0;;0;;Bojnanský V. & Fargašová A. (2007) Atlas of Seeds and Fruits of Central and East-European Flora: The Carpathian Mountains Region. Springer, A.A. Dordrecht
Ajuga orientalis;Ajuga orientalis L.;Lamiaceae;0;0;0;0;1;0;0;0;;0;;
Ajuga pyramidalis;Ajuga pyramidalis L.;Lamiaceae;0;0;0;0;1;0;0;0;;0;Ajuga occidentalis;Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
Ajuga reptans;Ajuga reptans L.;Lamiaceae;0;0;0;0;1;0;0;0;;0;;Strykstra R.J., Bekker R.M. & Van Andel J. (2002) Dispersal and life span spectra in plant communities: a key to safe site dynamics, species coexistence and conservation. Ecography 25: 145-160 | Plant Diversity Analysis and Synthesis Centre <https://pladias.cz> | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
Ajuga salicifolia;Ajuga salicifolia (L.) Schreb.;Lamiaceae;0;0;0;0;1;0;0;0;;0;;
Ajuga tenorii;Ajuga tenorei C.Presl;Lamiaceae;0;0;0;0;1;0;0;0;;0;;
Alcea heldreichii;Alcea heldreichii (Boiss.) Boiss.;Malvaceae;0;0;0;0;0;0;0;0;;0;;
Alcea pallida;Alcea biennis Winterl;Malvaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla achtarowii;Alchemilla achtarowii Pawl.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla acuminatidens;Alchemilla acuminatidens Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla acutidens;Alchemilla acutidens Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla acutiloba;Alchemilla vulgaris L.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla aequidens;Alchemilla aequidens Pawl.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla aggregata;Alchemilla aggregata Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla alpina;Alchemilla alpina L.;Rosaceae;0;0;0;0;0;0;0;0;;0;Alchemilla viridicans;
Alchemilla amicorum;Alchemilla amicorum Pawl.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla amphibola;Alchemilla amphibola Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla anisiaca;Alchemilla anisiaca Wettst.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla argentidens;Alchemilla argentidens Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla aroanica;Alchemilla aroanica (Buser) Rothm.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla asteroantha;Alchemilla asteroantha Rothm.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla atrovirens;Alchemilla atrovirens Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla babiogorensis;Alchemilla babiogorensis Pawl.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla baltica;Alchemilla baltica Juz.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla bandericensis;Alchemilla bandericensis Pawl.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla boleslai;Alchemilla boleslai Pawl.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla borealis;Alchemilla borealis Sam. ex Juz.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla braun-blanquetii;Alchemilla braun-blanquetii Pawl.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla bulgarica;Alchemilla bulgarica Rothm.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla buseri;Alchemilla buseri Maill.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla catachnoa;Alchemilla catachnoa Rothm.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla catalaunica;Alchemilla catalaunica Rothm.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla chirophylla;Alchemilla chirophylla Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla cinerea;Alchemilla cinerea Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla colorata;Alchemilla colorata Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla compta;Alchemilla compta Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla conglobata;Alchemilla conglobata H.Lindb.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla conjuncta;Alchemilla conjuncta Bab.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla connivens;Alchemilla connivens Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;Alchemilla cleistophylla;
Alchemilla controversa;Alchemilla controversa Jaquet ex Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla coriacea;Alchemilla coriacea Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla coruscans;Alchemilla coruscans Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla crinita;Alchemilla crinita Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla curtiloba;Alchemilla curtiloba Buser;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla cymatophylla;Alchemilla cymatophylla Juz.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla czywczynensis;Alchemilla czywczynensis Pawl.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
Alchemilla damianicensis;Alchemilla damianicensis Pawl.;Rosaceae;0;0;0;0;0;0;0;0;;0;;
