Species_Flora_Europaea;Species_POWO;Family;Endozoochorous;Epizoochorous;Thalassochorous;Anemochorous;Myrmecochorous;Vertebrate_hoarding;Freshwater Hydrochorous;Ballochorous;Further clarification needed;Tree_or_Shrub;Synonyms;References
Medicago carstiensis;Medicago carstiensis Wulfen;Fabaceae;0;1;0;0;0;0;0;0;EPI?;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago ciliaris;Medicago ciliaris (L.) All.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago coronata;Medicago coronata (L.) Bartal.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago disciformis;Medicago disciformis DC.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago globosa;Medicago globosa C.Presl;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago granadensis;Medicago granadensis Willd.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago hybrida;Medicago hybrida (Pourr.) Trautv.;Fabaceae;0;0;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago intertexta;Medicago intertexta (L.) Mill.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago littoralis;Medicago littoralis Rohde ex Loisel.;Fabaceae;0;1;1;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago lupulina;Medicago lupulina L.;Fabaceae;0;0;0;0;0;0;0;0;;0;;Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago marina;Medicago marina L.;Fabaceae;0;0;1;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago minima;Medicago minima (L.) Bartal.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Ridley H.N. (1930) The dispersal of plants throughout the world. L. Reeve & Co. Kent. | Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago murex;Medicago murex Willd.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
