taxon_id,species_label,n_obs
129454,Umbilicus_rupestris,251
765394,Sambucus_nigra,183
55925,Geranium_robertianum,119
119791,Acer_pseudoplatanus,118
127079,Polypodium_vulgare,109
125440,Fraxinus_excelsior,75
53294,Sonchus_oleraceus,51
53856,Ilex_aquifolium,49
55882,Hedera_helix,48
54763,Acer_platanoides,43
346413,Polypodium_cambricum,33
53059,Galium_aparine,29
