taxon_name,taxon_id,lat,lon,id,site,geometry,presence,chelsa_ai_1981_2010_v_2_1,chelsa_bio10,chelsa_bio6,chelsa_sfc_wind_mean_1981_2010_v_2_1,moisture,max_temp,min_temp,wind,species_label,moist_min,moist_max,moist_rng,moist_rel01,max_temp_min,max_temp_max,max_temp_rng,max_temp_rel01,min_temp_min,min_temp_max,min_temp_rng,min_temp_rel01,wind_min,wind_max,wind_rng,wind_rel01,moist_mean,moist_sd,moist_z_within,max_temp_mean,max_temp_sd,max_temp_z_within,min_temp_mean,min_temp_sd,min_temp_z_within,wind_mean,wind_sd,wind_z_within
Acer platanoides,54763,53.1336111111,8.2008333333,161276489,161276489,"c(8.2008333333, 53.1336111111)",1,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,0.5476012959216402,15.250000000000057,18.450000000000045,3.1999999999999886,0.46875000000000167,-8.149999999999977,2.150000000000034,10.300000000000011,0.7572815533980585,1.054,5.34,4.286,0.5048996733551097,1.2633362093637155,0.16954750625825243,0.08563773106800235,16.83139534883725,0.5058024336463883,-0.16092320523332768,-0.9499999999999649,1.9065051546643954,0.3147119736508752,3.4239302325581398,0.7487680801648493,-0.27502538905344637
Acer platanoides,54763,53.1125446623,8.2154738567,167871356,167871356,"c(8.2154738567, 53.1125446623)",1,1.263667345046997,16.850000000000023,-0.24999999999994316,3.501,1.263667345046997,16.850000000000023,-0.24999999999994316,3.501,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,0.5323066757543609,15.250000000000057,18.450000000000045,3.1999999999999886,0.4999999999999911,-8.149999999999977,2.150000000000034,10.300000000000011,0.7669902912621384,1.054,5.34,4.286,0.5709286047596828,1.2633362093637155,0.16954750625825243,0.0019530554626807607,16.83139534883725,0.5058024336463883,0.036782446910443786,-0.9499999999999649,1.9065051546643954,0.36716396925936645,3.4239302325581398,0.7487680801648493,0.10292875655822879
Acer platanoides,54763,53.137948,8.209084,167950678,167950678,"c(8.209084, 53.137948)",1,1.2799071073532104,16.750000000000057,-0.3499999999999659,3.309,1.2799071073532104,16.750000000000057,-0.3499999999999659,3.309,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,0.5498124378048078,15.250000000000057,18.450000000000045,3.1999999999999886,0.46875000000000167,-8.149999999999977,2.150000000000034,10.300000000000011,0.7572815533980585,1.054,5.34,4.286,0.5261315912272515,1.2633362093637155,0.16954750625825243,0.09773601720956246,16.83139534883725,0.5058024336463883,-0.16092320523332768,-0.9499999999999649,1.9065051546643954,0.3147119736508752,3.4239302325581398,0.7487680801648493,-0.15349243057053993
Acer platanoides,54763,53.6334719722,8.0278229722,171752410,171752410,"c(8.0278229722, 53.6334719722)",1,1.6975375413894653,16.350000000000023,0.6500000000000341,5.0760000000000005,1.6975375413894653,16.350000000000023,0.6500000000000341,5.0760000000000005,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,1,15.250000000000057,18.450000000000045,3.1999999999999886,0.34374999999999056,-8.149999999999977,2.150000000000034,10.300000000000011,0.8543689320388351,1.054,5.34,4.286,0.9384041063929073,1.2633362093637155,0.16954750625825243,2.560942013292607,16.83139534883725,0.5058024336463883,-0.9517458138087507,-0.9499999999999649,1.9065051546643954,0.8392319297356682,3.4239302325581398,0.7487680801648493,2.2063838072239137
Acer platanoides,54763,53.3910890172,10.0348040834,172998308,172998308,"c(10.0348040834, 53.3910890172)",1,1.183877944946289,17.05000000000001,-1.0499999999999545,3.536,1.183877944946289,17.05000000000001,-1.0499999999999545,3.536,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,0.4462971501237736,15.250000000000057,18.450000000000045,3.1999999999999886,0.5624999999999878,-8.149999999999977,2.150000000000034,10.300000000000011,0.689320388349516,1.054,5.34,4.286,0.5790947270181989,1.2633362093637155,0.16954750625825243,-0.46864897143575024,16.83139534883725,0.5058024336463883,0.4321937511980991,-0.9499999999999649,1.9065051546643954,-0.05245199560847386,3.4239302325581398,0.7487680801648493,0.14967220212857751
Acer platanoides,54763,49.7946742078,9.9428991973,176745947,176745947,"c(9.9428991973, 49.7946742078)",1,0.8057146668434143,18.450000000000045,-2.0499999999999545,2.328,0.8057146668434143,18.450000000000045,-2.0499999999999545,2.328,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,0.03865347665984062,15.250000000000057,18.450000000000045,3.1999999999999886,1,-8.149999999999977,2.150000000000034,10.300000000000011,0.5922330097087394,1.054,5.34,4.286,0.297246850209986,1.2633362093637155,0.16954750625825243,-2.69907563148265,16.83139534883725,0.5058024336463883,3.200072881211911,-0.9499999999999649,1.9065051546643954,-0.5769719516932668,3.4239302325581398,0.7487680801648493,-1.463644433556595
Acer platanoides,54763,47.48514,11.1131159722,177224168,177224168,"c(11.1131159722, 47.48514)",1,1.5509943962097168,16.650000000000034,-7.849999999999966,1.054,1.5509943962097168,16.650000000000034,-7.849999999999966,1.054,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,0.8420328215851242,15.250000000000057,18.450000000000045,3.1999999999999886,0.43749999999999445,-8.149999999999977,2.150000000000034,10.300000000000011,0.029126213592234083,1.054,5.34,4.286,0,1.2633362093637155,0.16954750625825243,1.6966229300231894,16.83139534883725,0.5058024336463883,-0.3586288573772115,-0.9499999999999649,1.9065051546643954,-3.6191876969850716,3.4239302325581398,0.7487680801648493,-3.1651058523172817
Acer platanoides,54763,53.1336916107,8.2009301707,178368206,178368206,"c(8.2009301707, 53.1336916107)",1,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,0.5476012959216402,15.250000000000057,18.450000000000045,3.1999999999999886,0.46875000000000167,-8.149999999999977,2.150000000000034,10.300000000000011,0.7572815533980585,1.054,5.34,4.286,0.5048996733551097,1.2633362093637155,0.16954750625825243,0.08563773106800235,16.83139534883725,0.5058024336463883,-0.16092320523332768,-0.9499999999999649,1.9065051546643954,0.3147119736508752,3.4239302325581398,0.7487680801648493,-0.27502538905344637
Acer platanoides,54763,53.1336916107,8.2009301707,178369142,178369142,"c(8.2009301707, 53.1336916107)",1,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,0.5476012959216402,15.250000000000057,18.450000000000045,3.1999999999999886,0.46875000000000167,-8.149999999999977,2.150000000000034,10.300000000000011,0.7572815533980585,1.054,5.34,4.286,0.5048996733551097,1.2633362093637155,0.16954750625825243,0.08563773106800235,16.83139534883725,0.5058024336463883,-0.16092320523332768,-0.9499999999999649,1.9065051546643954,0.3147119736508752,3.4239302325581398,0.7487680801648493,-0.27502538905344637
Acer platanoides,54763,53.0803611111,8.1983638889,212618040,212618040,"c(8.1983638889, 53.0803611111)",1,1.2572853565216064,16.850000000000023,-0.24999999999994316,4.543,1.2572853565216064,16.850000000000023,-0.24999999999994316,4.543,Acer_platanoides,0.7698565721511841,1.6975375413894653,0.92768096923828125,0.5254271678879541,15.250000000000057,18.450000000000045,3.1999999999999886,0.4999999999999911,-8.149999999999977,2.150000000000034,10.300000000000011,0.7669902912621384,1.054,5.34,4.286,0.8140457302846478,1.2633362093637155,0.16954750625825243,-0.03568824440798597,16.83139534883725,0.5058024336463883,0.036782446910443786,-0.9499999999999649,1.9065051546643954,0.36716396925936645,3.4239302325581398,0.7487680801648493,1.4945479075383197
