taxon.name,taxon.id,lat,lon,id,site,geometry,presence,chelsa_ai_1981_2010_v_2_1,chelsa_bio10,chelsa_bio6,chelsa_sfc_wind_mean_1981_2010_v_2_1,moisture,max_temp,min_temp,wind
Acer platanoides,54763,53.1336111111,8.2008333333,161276489,161276489,"c(8.2008333333, 53.1336111111)",1,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218
Acer platanoides,54763,53.1125446623,8.2154738567,167871356,167871356,"c(8.2154738567, 53.1125446623)",1,1.263667345046997,16.850000000000023,-0.24999999999994316,3.501,1.263667345046997,16.850000000000023,-0.24999999999994316,3.501
Acer platanoides,54763,53.137948,8.209084,167950678,167950678,"c(8.209084, 53.137948)",1,1.2799071073532104,16.750000000000057,-0.3499999999999659,3.309,1.2799071073532104,16.750000000000057,-0.3499999999999659,3.309
Acer platanoides,54763,53.6334719722,8.0278229722,171752410,171752410,"c(8.0278229722, 53.6334719722)",1,1.6975375413894653,16.350000000000023,0.6500000000000341,5.0760000000000005,1.6975375413894653,16.350000000000023,0.6500000000000341,5.0760000000000005
Acer platanoides,54763,53.3910890172,10.0348040834,172998308,172998308,"c(10.0348040834, 53.3910890172)",1,1.183877944946289,17.05000000000001,-1.0499999999999545,3.536,1.183877944946289,17.05000000000001,-1.0499999999999545,3.536
Acer platanoides,54763,49.7946742078,9.9428991973,176745947,176745947,"c(9.9428991973, 49.7946742078)",1,0.8057146668434143,18.450000000000045,-2.0499999999999545,2.328,0.8057146668434143,18.450000000000045,-2.0499999999999545,2.328
Acer platanoides,54763,47.48514,11.1131159722,177224168,177224168,"c(11.1131159722, 47.48514)",1,1.5509943962097168,16.650000000000034,-7.849999999999966,1.054,1.5509943962097168,16.650000000000034,-7.849999999999966,1.054
Acer platanoides,54763,53.1336916107,8.2009301707,178368206,178368206,"c(8.2009301707, 53.1336916107)",1,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218
Acer platanoides,54763,53.1336916107,8.2009301707,178369142,178369142,"c(8.2009301707, 53.1336916107)",1,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218
Acer platanoides,54763,53.0803611111,8.1983638889,212618040,212618040,"c(8.1983638889, 53.0803611111)",1,1.2572853565216064,16.850000000000023,-0.24999999999994316,4.543,1.2572853565216064,16.850000000000023,-0.24999999999994316,4.543
Acer platanoides,54763,53.150674,8.167057,216059606,216059606,"c(8.167057, 53.150674)",1,1.2920492887496948,16.750000000000057,-0.3499999999999659,3.932,1.2920492887496948,16.750000000000057,-0.3499999999999659,3.932
Acer platanoides,54763,51.8327595,10.7982554,216089056,216089056,"c(10.7982554, 51.8327595)",1,1.1791582107543945,16.150000000000034,-3.249999999999943,2.966,1.1791582107543945,16.150000000000034,-3.249999999999943,2.966
Acer platanoides,54763,53.2012361111,8.4744555556,217040610,217040610,"c(8.4744555556, 53.2012361111)",1,1.2639789581298828,16.750000000000057,-0.3499999999999659,5.34,1.2639789581298828,16.750000000000057,-0.3499999999999659,5.34
Acer platanoides,54763,51.7548578997,10.8430143,219309198,219309198,"c(10.8430143, 51.7548578997)",1,1.3033846616744995,15.250000000000057,-3.849999999999966,3.516,1.3033846616744995,15.250000000000057,-3.849999999999966,3.516
Acer platanoides,54763,53.284318,7.897635,219745136,219745136,"c(7.897635, 53.284318)",1,1.3526206016540527,16.55000000000001,-0.3499999999999659,5.001,1.3526206016540527,16.55000000000001,-0.3499999999999659,5.001
Acer platanoides,54763,53.1404861111,8.1642361111,222811064,222811064,"c(8.1642361111, 53.1404861111)",1,1.282401204109192,16.750000000000057,-0.3499999999999659,3.493,1.282401204109192,16.750000000000057,-0.3499999999999659,3.493
Acer platanoides,54763,53.1128525,8.2150473997,224156807,224156807,"c(8.2150473997, 53.1128525)",1,1.263667345046997,16.850000000000023,-0.24999999999994316,3.501,1.263667345046997,16.850000000000023,-0.24999999999994316,3.501
Acer platanoides,54763,53.1393212997,8.1970419,225275849,225275849,"c(8.1970419, 53.1393212997)",1,1.2777043581008911,16.750000000000057,-0.3499999999999659,3.368,1.2777043581008911,16.750000000000057,-0.3499999999999659,3.368
Acer platanoides,54763,53.1887350662,8.2213691625,226363114,226363114,"c(8.2213691625, 53.1887350662)",1,1.3271132707595825,16.650000000000034,-0.3499999999999659,3.532,1.3271132707595825,16.650000000000034,-0.3499999999999659,3.532
Acer platanoides,54763,52.4525027778,13.3124583333,236036393,236036393,"c(13.3124583333, 52.4525027778)",1,0.8690674901008606,18.150000000000034,-1.9499999999999886,2.724,0.8690674901008606,18.150000000000034,-1.9499999999999886,2.724
Acer platanoides,54763,53.1642816007,8.2454594511,242221461,242221461,"c(8.2454594511, 53.1642816007)",1,1.304909586906433,16.650000000000034,-0.3499999999999659,3.613,1.304909586906433,16.650000000000034,-0.3499999999999659,3.613
Acer platanoides,54763,53.137294036,8.2378417254,243306014,243306014,"c(8.2378417254, 53.137294036)",1,1.2788445949554443,16.750000000000057,-0.3499999999999659,3.227,1.2788445949554443,16.750000000000057,-0.3499999999999659,3.227
Acer platanoides,54763,53.1373645157,8.2378064268,243307169,243307169,"c(8.2378064268, 53.1373645157)",1,1.2788445949554443,16.750000000000057,-0.3499999999999659,3.227,1.2788445949554443,16.750000000000057,-0.3499999999999659,3.227
Acer platanoides,54763,53.1205118024,8.2238375862,243391135,243391135,"c(8.2238375862, 53.1205118024)",1,1.2685091495513916,16.850000000000023,-0.24999999999994316,3.5060000000000002,1.2685091495513916,16.850000000000023,-0.24999999999994316,3.5060000000000002
Acer platanoides,54763,53.1324758858,8.2169275878,243485339,243485339,"c(8.2169275878, 53.1324758858)",1,1.273477554321289,16.750000000000057,-0.3499999999999659,3.265,1.273477554321289,16.750000000000057,-0.3499999999999659,3.265
Acer platanoides,54763,53.1414829973,8.1639419538,243491406,243491406,"c(8.1639419538, 53.1414829973)",1,1.282401204109192,16.750000000000057,-0.3499999999999659,3.493,1.282401204109192,16.750000000000057,-0.3499999999999659,3.493
Acer platanoides,54763,53.1380678437,8.2021126901,243727690,243727690,"c(8.2021126901, 53.1380678437)",1,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218
