taxon_id,species_label,n_obs,moist_min,moist_max,max_temp_min,max_temp_max,min_temp_min,min_temp_max,wind_min,wind_max
127079,Polypodium_vulgare,208,0.840750515460968,11.247353553771973,12.750000000000057,21.150000000000034,-10.049999999999955,6.750000000000057,1.272,7.604
129454,Umbilicus_rupestris,204,0.3950655162334442,6.1157755851745605,13.150000000000034,28.05000000000001,-0.24999999999994316,11.350000000000023,0.858,7.191
765394,Sambucus_nigra,186,0.756766140460968,3.5494046211242676,12.750000000000057,19.650000000000034,-9.449999999999989,7.250000000000057,1.054,7.063
119791,Acer_pseudoplatanus,142,0.8229967355728149,3.1466634273529053,14.250000000000057,19.850000000000023,-4.149999999999977,6.750000000000057,2.246,6.402
346413,Polypodium_cambricum,119,0.8793618679046631,3.299516439437866,16.350000000000023,22.750000000000057,1.3500000000000227,9.650000000000034,1.341,4.953
55925,Geranium_robertianum,112,0.965961217880249,5.067353248596191,12.950000000000045,19.950000000000045,-11.449999999999989,9.350000000000023,1.631,6.042
125440,Fraxinus_excelsior,98,0.8307899236679077,6.527763843536377,12.850000000000023,19.850000000000023,-8.749999999999943,6.650000000000034,1.2690000000000001,5.955
54763,Acer_platanoides,55,0.8057146668434143,1.6975375413894653,15.250000000000057,18.850000000000023,-8.149999999999977,5.4500000000000455,1.054,5.34
53294,Sonchus_oleraceus,50,0.6059910655021667,3.7271716594696045,15.750000000000057,21.05000000000001,1.9500000000000455,14.450000000000045,2.3000000000000003,6.604
55882,Hedera_helix,49,0.6962844729423523,2.7374749183654785,14.550000000000011,24.05000000000001,-5.249999999999943,7.250000000000057,1.7750000000000001,6.2330000000000005
53856,Ilex_aquifolium,48,0.6906266808509827,4.428325653076172,13.350000000000023,20.350000000000023,-5.249999999999943,7.350000000000023,1.714,7.604
124544,Anthriscus_sylvestris,37,0.8077603578567505,3.327329397201538,13.450000000000045,20.05000000000001,-7.0499999999999545,4.4500000000000455,2.581,6.147
53059,Galium_aparine,35,0.7884770631790161,2.736363410949707,15.750000000000057,19.850000000000023,-3.749999999999943,9.350000000000023,1.8900000000000001,5.8500000000000005
47602,Taraxacum_officinale,31,0.9800143837928772,2.902796506881714,13.850000000000023,19.650000000000034,-10.449999999999989,6.550000000000011,1.435,6.024
55620,Solanum_dulcamara,20,0.772097110748291,3.161107301712036,15.450000000000045,22.750000000000057,-8.249999999999943,6.750000000000057,1.435,6.024
137178,Polypodium_interjectum,20,1.3370051383972168,2.9050915241241455,14.250000000000057,20.250000000000057,0.7500000000000568,6.650000000000034,2.563,6.604
