term,mean,ci_low,ci_high,pd,rope_perc,rate_ratio_mean,rate_ratio_ci_l,rate_ratio_ci_h
Intercept,-3.475,-4.595,-2.371,1,0,0.031,0.01,0.093
dbh_cat30M60,1.215,0.296,2.097,0.994,0,3.37,1.345,8.141
dbh_cat60M90,2.118,1.182,2.996,1,0,8.316,3.262,20.01
dbh_cat90P,3.476,2.451,4.462,1,0,32.325,11.595,86.7
settingUrban,2.397,0.111,4.622,0.98,0,10.992,1.117,101.698
settingUrban:dbh_cat30M60,-0.541,-2.399,1.479,0.72,0.067,0.582,0.091,4.389
settingUrban:dbh_cat60M90,0.696,-1.273,2.858,0.75,0.067,2.005,0.28,17.423
settingUrban:dbh_cat90P,-1.086,-3.422,1.322,0.821,0.042,0.337,0.033,3.752
