term,mean,ci_low,ci_high,pd,rope_perc,rate_ratio_mean,rate_ratio_ci_l,rate_ratio_ci_h
Intercept,-4.27,-5.096,-3.467,1,0,0.014,0.006,0.031
dbh_cat30M60,1.096,0.404,1.786,0.999,0,2.991,1.497,5.964
dbh_cat60M90,2.116,1.392,2.841,1,0,8.301,4.022,17.129
dbh_cat90P,3.329,2.521,4.152,1,0,27.917,12.444,63.569
settingUrban,3.036,1.439,4.605,1,0,20.832,4.218,99.995
settingUrban:dbh_cat30M60,-1.159,-2.367,0.137,0.96,0.023,0.314,0.094,1.146
settingUrban:dbh_cat60M90,-0.349,-1.741,1.097,0.694,0.098,0.705,0.175,2.994
settingUrban:dbh_cat90P,-0.624,-2.397,1.209,0.76,0.068,0.536,0.091,3.351
