term,mean,ci_low,ci_high,rr_mean,rr_ci_l,rr_ci_h
Intercept,-5.23192072893223,-6.05757771654472,-4.47069873077731,0.00534325250051401,0.00234006232220858,0.0114393200523838
dbh_cat30M60,1.48041636758571,1.00297596891562,1.96864027301547,4.3947751419438,2.72638339971733,7.16093295180407
dbh_cat60M90,2.18652654567658,1.52500148891695,2.84331322581233,8.90423089888028,4.59515041109894,17.1725679810207
dbh_cat90P,4.06173497384668,3.1542083046321,4.96199663436088,58.0749822981741,23.4344767786287,142.878787987348
settingnonMforest,2.92040693832552,1.30380571501714,4.50910706831328,18.5488341556344,3.68328757085842,90.8406677741916
settingnonMforest:dbh_cat30M60,-0.170896009312312,-1.02667388097973,0.721906471209319,0.842909223623965,0.358196385198451,2.05835366434005
settingnonMforest:dbh_cat60M90,-0.0276878323271066,-1.11714134227891,1.09627875846073,0.97269196239876,0.327213851315275,2.99300757107294
settingnonMforest:dbh_cat90P,-1.09164732398632,-2.47237427793114,0.279492310932401,0.335663092153027,0.0843842692596575,1.322458244285
