term,mean,ci_low,ci_high,rr_mean,rr_ci_l,rr_ci_h
Intercept,-1.41924638913966,-1.83875101542689,-0.963064995715064,0.241896243860751,0.159015910548269,0.381721117570159
dbh_cat30M60,0.879043168261866,0.395018052916828,1.34715931915843,2.4085939843306,1.48441098862714,3.84648336485271
dbh_cat60M90,1.52698526890956,1.013340385248,2.04029592769124,4.60427522636802,2.75478771516095,7.69288539988229
dbh_cat90P,1.66325358736922,1.11556771557423,2.20380357920894,5.27645033908317,3.05129995806508,9.05940621939438
settingnonMforest,2.16673332296004,1.29138226407803,3.04201950401754,8.72972023512028,3.63781149821063,20.9475041164404
settingnonMforest:dbh_cat30M60,-0.371489193000799,-1.36382881424614,0.612027657176976,0.689706459446009,0.255679949415785,1.84416694864349
settingnonMforest:dbh_cat60M90,-0.469053932501415,-1.5013533516146,0.556291449787154,0.625593842405667,0.222828390831982,1.74419206735529
settingnonMforest:dbh_cat90P,0.632589838687039,-0.571646444960671,1.82683415072971,1.88247959003647,0.564595098278171,6.21418231993609
