term,mean,ci_low,ci_high,rr_mean,rr_ci_l,rr_ci_h
Intercept,-1.42009300732713,-1.85374390208007,-0.971761643908006,0.24169153676782,0.156649586366827,0.37841581665455
dbh_cat30M60,0.864781624226471,0.37496601505055,1.33862851663961,2.37448749881145,1.45494196764876,3.81380934085133
dbh_cat60M90,1.51998954425362,0.994430911649308,2.02665499345442,4.57217738936503,2.70318555206004,7.58865973988292
dbh_cat90P,1.72763361068067,1.17227440242984,2.27277620814362,5.62732170607749,3.22932908626923,9.70631018115694
settingnonMforest,2.15127815116153,1.25664393663393,3.07877009766557,8.59583815931288,3.51360978096569,21.7316581360818
settingnonMforest:dbh_cat30M60,-0.326534055981013,-1.32478968129066,0.642276013275764,0.721419805971039,0.265858868303393,1.90080221080195
settingnonMforest:dbh_cat60M90,-0.443800721822529,-1.49766040957536,0.611643676198504,0.64159326362501,0.223652804483002,1.84345895954996
settingnonMforest:dbh_cat90P,0.601354430070667,-0.643517120442338,1.81255502315583,1.8245884049619,0.525441130598761,6.1260797288482
