taxon_name,genus_name,tree_sp,epi_count,epi_lat,epi_lon,dbh,taxon_rank,family,setting,species,mode_key,mode_label,n_modes,source,dispersal_agent_summary
Magnoliopsida,,,1,50.8892777778,3.5056694444,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,50.8808833333,3.496425,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,62.4392166111,6.1869768889,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,62.4417495556,6.1911849722,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,60.39694975,5.33218,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,50.871855,3.604057,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,58.749826,11.194809,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,58.367674,11.264076,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,58.056182,11.571242,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,51.5616571323,6.3476023921,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,51.5598555556,6.352925,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,51.1561666667,2.8114611111,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,51.0900694444,2.6107166667,1,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,3,51.090125,2.6108472222,1,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,55.9080194444,11.6653805556,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,56.1170222222,12.3549222222,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,55.4072833333,12.9088027778,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,53.8439138889,14.6176111111,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,53.8436472222,14.6175888889,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,54.0323305556,13.8846722222,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,52.1596916667,4.353925,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,52.3854472222,4.6085527778,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,51.5491833333,3.8005138889,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,51.5021361111,3.6133277778,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,51.5804972222,3.5620861111,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
