site,taxon_name,genus_name,tree_sp,epi_count,epi_lat,epi_lon,dbh_cat,taxon_rank,total_trees,obs_count_dbh,spp_count_dbh,obs_count,spp_count,lon,lat,setting,obs_per10,spp_per10,dominanttree1,dominanttree2,dominanttree3,species,mode_key,mode_label,n_modes,source,dispersal_agent_summary
S04,Sambucus nigra,Sambucus,Salix,1,52.1275416667,4.4651111111,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Glechoma hederacea,Glechoma,Salix,1,52.1275888889,4.4651027778,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Glechoma hederacea,myrmecochorous,Myrmecochorous,1,EuDiS,animal
S04,Poaceae,,Fraxinus excelsior,1,52.1276444444,4.4651638889,60 - 90,family,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Poaceae,unassisted,Unassisted,1,TRY_GenusFill,unassisted
S04,Poaceae,,Salix,1,52.1276805556,4.4652,30 - 60,family,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Poaceae,unassisted,Unassisted,1,TRY_GenusFill,unassisted
S04,Alliaria petiolata,Alliaria,Salix,1,52.1276638889,4.4651861111,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Alliaria petiolata,epizoochorous_anemochorous_freshwater-hydrochorous_ballochorous_unassisted_human-mediated,Mixed,6,TRY,mixed
S04,Anthriscus sylvestris,Anthriscus,Salix,1,52.1276694444,4.4651861111,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Fraxinus excelsior,Fraxinus,Salix,1,52.1276638889,4.4651583333,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Fraxinus excelsior,anemochorous,Anemochorous,1,EuDiS,wind
S04,Galium aparine,Galium,Salix,2,52.1276638889,4.4651583333,30 - 60,complex,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Fraxinus excelsior,Fraxinus,Salix,1,52.1276583333,4.4652444444,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Fraxinus excelsior,anemochorous,Anemochorous,1,EuDiS,wind
S04,Sambucus nigra,Sambucus,Salix,3,52.1276944444,4.4652055556,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Glechoma hederacea,Glechoma,Salix,1,52.1277277778,4.465175,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Glechoma hederacea,myrmecochorous,Myrmecochorous,1,EuDiS,animal
S04,Glechoma hederacea,Glechoma,Salix,4,52.1277166667,4.4652194444,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Glechoma hederacea,myrmecochorous,Myrmecochorous,1,EuDiS,animal
S04,Anthriscus sylvestris,Anthriscus,Salix,1,52.1277166667,4.4651916667,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Quercus,Quercus,Salix,1,52.1277888889,4.4652944444,60 - 90,genus,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Quercus,epizoochorous,Epizoochorous,1,TRY_GenusFill,animal
S04,Poa annua,Poa,Salix,1,52.1278027778,4.4653333333,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Poa annua,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Poa annua,Poa,Salix,1,52.1277805556,4.4652777778,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Poa annua,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Galium aparine,Galium,Salix,1,52.1277861111,4.4652722222,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Symphytum officinale,Symphytum,Salix,1,52.1278,4.4653027778,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Symphytum officinale,myrmecochorous,Myrmecochorous,1,EuDiS,animal
S04,Adoxa moschatellina,Adoxa,Salix,1,52.1277888889,4.4652944444,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Adoxa moschatellina,endozoochorous_epizoochorous,Mixed,2,EuDiS,animal
S04,Fraxinus excelsior,Fraxinus,Salix,1,52.1277888889,4.4652861111,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Fraxinus excelsior,anemochorous,Anemochorous,1,EuDiS,wind
S04,Galium aparine,Galium,Salix,1,52.1277888889,4.4652861111,60 - 90,complex,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Anthriscus sylvestris,Anthriscus,Salix,1,52.1278611111,4.4653083333,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
