species
Magnoliopsida
Angiospermae
Plantae
Rosaceae
Poales
Liliopsida
Asparagales
Gentianales
Asteraceae
Geraniaceae
Geranium
Polypodiales
Onagraceae
Cactaceae
Ranunculus
Solanaceae
Dipsacales
Caprifoliaceae
Caryophyllaceae
Carex
Lamiaceae
Apiaceae
Arecales
Melastomataceae
Strelitzia reginae
Stellaria
Acanthaceae
Fragaria
Plantago
Solanum
Salvia
Cerastium
Veronica
Phormium tenax
Phormium
Euphorbia
Trifolium
Dudleya
Silene
Hedychium gardnerianum
Pentagramma triangularis
Bromus
Hypericum
Poa
Anthriscus
Epilobium
Galium
Heracleum
Lactuca
Rumex
Crepis
Lecanoromycetes
Tilia
Actinidia
Polytrichaceae
Sedum
Geum
Glechoma
Galeopsis
Malva
Bowlesia incana
Phleum
Dudleya lanceolata
Cystopteris fragilis
Cystopteris
Polycarpon tetraphyllum
Sedum spathulifolium
Forsythia
Persicaria
Chimaphila umbellata
Actaea pachypoda
Ehrharta erecta
Ginkgo biloba
Aeonium arboreum
Aeonium
Ligustrum
Aloe
Anredera cordifolia
Carex disperma
Coptis laciniata
Dudleya cespitosa
Ehrharta longiflora
Fragaria virginiana
Ligustrum japonicum
Salpichroa origanifolia
Sedum praealtum
Aloe arborescens
Osmunda regalis
Gymnocarpium dryopteris
Onoclea sensibilis
Mitchella repens
Hylotelephium
Geum canadense
Rosulabryum
Thalictrum thalictroides
Polypodiopsida
Camellia sasanqua
Paederia foetida
Stellaria pubera
Aloe vera
Sedum ternatum
Rumex verticillatus
Dichanthelium
Carex amphibola
Aeonium cuneatum
Phormium cookianum
Aichryson laxum
Danthonia spicata
Carex trisperma
Solanum mauritianum
Leptopteris hymenophylloides
Astrolepis sinuata
Leonotis nepetifolia
Oleandra
Cephalotaxus harringtonia
Eupatorieae
Salvia tiliifolia
Echeveria gibbiflora
Ceratostigma
Carex abscondita
Carex albursina
Corynocarpus laevigatus
Dichanthelium boscii
Kalanchoe delagoensis
Nertera granadensis
Plantago australis
Polymnia laevigata
Mycena epipterygia
Huperzia miyoshiana
Anogramma leptophylla
Tacinga
Dischistocalyx
Nuxia congesta
Melanodendron integrifolium
Richea dracophylla
Astelia fragrans
Carex glaucodea
Aporocactus
Sedum frutescens
Sedum dendroideum
Tracheophyta
Pieris phillyreifolia
Sedum pachyphyllum
Avenella
Sedum palmeri
Graptopetalum paraguayense
Myrtillocactus schenckii
Sedum chloropetalum
Phyllonoma laticuspis
Astrolepis crassifolia
Echeveria rosea
Echeveria secunda
Thompsonella minutiflora
Maurandya scandens
Sedum hirsutum
Carex appressa
Lagenophora
Paniceae
Panicoideae
Euphorbia ingens
Cactoideae
Hypericum hircinum
Brachyglottis repanda
Siphonochilus
Vandenboschia speciosa
Caprifolioideae
Afgekia sericea
Nematolepis squamea
Vertebrata
Cichorieae
Quintinia serrata
Plagianthus regius
Gaultheria paniculata
Peraxilla tetrapetala
Gaultheria mucronata
Freycinetia scandens
Alseuosmia macrophylla
Anisotome latifolia
Archeria racemosa
Astelia banksii
Astelia hastata
Astelia trinervia
Brachyglottis myrianthos
Ehrharta diplax
Geniostoma ligustrifolium
Hedycarya arborea
Ileostylus micranthus
Paratrophis microphylla
Plantago triandra
Xeronema callistemon
Leptecophylla robusta
Luzuriaga parviflora
Corokia × virgata
Phormium cookianum hookeri
Kalanchoe uniflora
Cleistocactus smaragdiflorus
Echinopsis oxygona
Espostoa utcubambensis
Frailea cataphracta
Cichorioideae
Huperzia erosa
Enkianthus perulatus
Geniostoma ligustrifolium ligustrifolium
Astelia microsperma
Geum japonicum
Kalanchoe porphyrocalyx
Medinilla sedifolia
Myriopteris aurea
Myriopteris myriophylla
Carex horizontalis
Carex subviridis
Carex zotovii
Lapsanastrum
Helmholtzia glaberrima
Malva multiflora
Pentanema
Aloe juvenna
Pooideae
Kalanchoe × houghtonii
Kalanchoe rotundifolia
Arthropteris beckleri
Poeae
Microlaena stipoides
Chamaenerion angustifolium
Oenothera lindheimeri
Hieraciinae
Asteroideae
Fabeae
Porocystis
Solanoideae
Aeonium percarneum
Veronica sublobata
Maleae
Cochlidiosperma
Veronica townsonii
Veronica flavida
Veronica elliptica
Veronica × franciscana
Veronica stricta stricta
Hylotelephium viride
Caputia medley-woodii
Hylotelephium maximum
Apioideae
Tetrarrhena juncea
Pittocaulon praecox
Benthamina alyxifolia
Astelia samoense
Sedum hakonense
Stellaria apetala
Trichocereus terscheckii
Aria edulis
Paphia meiniana
Calamagrostis arenaria
Anemonoides nemorosa
Ruberta
Echeveria australis
Rabelera holostea
Coleus
Sedeae
Sphaeropteris excelsa
Ehrharteae
Solanum humblotii
Aeonium canariense canariense
Carex leviosa
Karpatiosorbus latifolia
Scandosorbus intermedia
Pterophylla racemosa
Pterophylla
Gnaphaliinae
Pterophylla fraxinea
Rosulares
Dudleya josedelgadilloi
Caninae
Cochemiea grahamii
Senega paniculata
Micrantherae

