species,dispersal_mode,source,genus,family,mode_key,mode_label,n_modes,agents_vec,dispersal_agent_multi,dispersal_agent_summary
Mikania corymbiifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania cynanchifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania decumbens,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania elliptica,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania filgueirasii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania fulva,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania glabra,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania glandulosissima,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania glauca,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania glomerata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania goyazensis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania grazielae,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania guaco,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania guilleminii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania hagei,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania hartbergii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania hemisphaerica,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania hirsutissima,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania hookeriana,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania itambana,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania jeffreyi,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania laevigata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania lasiandrae,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania leiolaena,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania ligustrifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania lindbergii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania linearifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania longipes,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania luetzelburgii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania lundiana,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania macedoi,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania malacolepis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania mendocina,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania micrantha,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania microcephala,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania microdonta,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania microphylla,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania microptera,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania mosenii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
