species,dispersal_mode,source,genus,family,mode_key,mode_label,n_modes,agents_vec,dispersal_agent_multi,dispersal_agent_summary
Mimosa gardneri,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa gatesiae,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa gemmulata,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa gracilis,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa guaranitica,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa guilandinae,epizoochorous,TRY,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Mimosa hapaloclada,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa hebecarpa,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa heringeri,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa hexandra,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa hilariana,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa hirsutissima,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa honesta,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa humifusa,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa humivagans,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa hypnodes,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Mimosa hypoglauca,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
