taxon_id,species_label,n_background_points
119791,Acer_pseudoplatanus,10000
125440,Fraxinus_excelsior,10000
127079,Polypodium_vulgare,10000
129454,Umbilicus_rupestris,10000
346413,Polypodium_cambricum,10000
53059,Galium_aparine,10000
53294,Sonchus_oleraceus,10000
53856,Ilex_aquifolium,10000
54763,Acer_platanoides,10000
55882,Hedera_helix,10000
55925,Geranium_robertianum,10000
765394,Sambucus_nigra,10000
