species_label,taxon_id,y,lon,lat,moist_rel01,maxT_rel01,minT_rel01,wind_rel01
Acer_platanoides,54763,1,8.2008333333,53.1336111111,0.04055054642340957,0.5311475409836081,0.716621253405995,0.20258557367415897
Acer_platanoides,54763,1,8.2154738567,53.1125446623,0.04007886291328698,0.5344262295081971,0.7193460490463227,0.22337299838401647
Acer_platanoides,54763,1,8.209084,53.137948,0.04061873766669803,0.5311475409836081,0.716621253405995,0.20926986925224036
Acer_platanoides,54763,1,8.0278229722,53.6334719722,0.05450244626666993,0.5180327868852462,0.7438692098092649,0.33906272954311745
Acer_platanoides,54763,1,10.0348040834,53.3910890172,0.03742634362809372,0.5409836065573771,0.6975476839237066,0.22594388129866316
Acer_platanoides,54763,1,9.9428991973,49.7946742078,0.024854681391584716,0.5868852459016405,0.6702997275204368,0.13721169384457177
Acer_platanoides,54763,1,11.1131159722,47.48514,0.04963076508832367,0.5278688524590172,0.5122615803814718,0.043631555751432356
Acer_platanoides,54763,1,8.2009301707,53.1336916107,0.04055054642340957,0.5311475409836081,0.716621253405995,0.20258557367415897
Acer_platanoides,54763,1,8.2009301707,53.1336916107,0.04055054642340957,0.5311475409836081,0.716621253405995,0.20258557367415897
Acer_platanoides,54763,1,8.1983638889,53.0803611111,0.03986670004929609,0.5344262295081971,0.7193460490463227,0.2999118554429264
Acer_platanoides,54763,1,8.167057,53.150674,0.04102239241629934,0.5311475409836081,0.716621253405995,0.2550315851329514
Acer_platanoides,54763,1,10.7982554,51.8327595,0.037269440756920534,0.5114754098360663,0.6376021798365133,0.18407521668870283
Acer_platanoides,54763,1,8.4744555556,53.2012361111,0.04008922218044314,0.5311475409836081,0.716621253405995,0.35845453209930955
Acer_platanoides,54763,1,10.8430143,51.7548578997,0.04139922562033336,0.4819672131147556,0.6212534059945509,0.2244748053474365
Acer_platanoides,54763,1,7.897635,53.284318,0.043036025497955495,0.5245901639344263,0.716621253405995,0.33355369472601737
Acer_platanoides,54763,1,8.1642361111,53.1404861111,0.040701651433890526,0.5311475409836081,0.716621253405995,0.2227853680035258
Acer_platanoides,54763,1,8.2150473997,53.1128525,0.04007886291328698,0.5344262295081971,0.7193460490463227,0.22337299838401647
Acer_platanoides,54763,1,8.1970419,53.1393212997,0.04054550945762706,0.5311475409836081,0.716621253405995,0.21360364330835904
Acer_platanoides,54763,1,8.2213691625,53.1887350662,0.04218805964000956,0.5278688524590172,0.716621253405995,0.2256500661084178
Acer_platanoides,54763,1,13.3124583333,52.4525027778,0.02696078301974228,0.5770491803278694,0.6730245231607629,0.16629939767886004
Acer_platanoides,54763,1,8.2454594511,53.1642816007,0.0414499202436928,0.5278688524590172,0.716621253405995,0.23159982371088586
Acer_platanoides,54763,1,8.2378417254,53.137294036,0.04058341549831133,0.5311475409836081,0.716621253405995,0.20324665785221097
Acer_platanoides,54763,1,8.2378064268,53.1373645157,0.04058341549831133,0.5311475409836081,0.716621253405995,0.20324665785221097
Acer_platanoides,54763,1,8.2238375862,53.1205118024,0.040239823890645274,0.5344262295081971,0.7193460490463227,0.22374026737182312
Acer_platanoides,54763,1,8.2169275878,53.1324758858,0.040404993567972905,0.5311475409836081,0.716621253405995,0.20603790215954168
Acer_platanoides,54763,1,8.1639419538,53.1414829973,0.040701651433890526,0.5311475409836081,0.716621253405995,0.2227853680035258
Acer_platanoides,54763,1,8.2021126901,53.1380678437,0.04055054642340957,0.5311475409836081,0.716621253405995,0.20258557367415897
Acer_platanoides,54763,1,8.1971564094,53.1393281282,0.04054550945762706,0.5311475409836081,0.716621253405995,0.21360364330835904
Acer_platanoides,54763,1,8.2088639051,53.1379209163,0.04061873766669803,0.5311475409836081,0.716621253405995,0.20926986925224036
Acer_platanoides,54763,1,8.2088778488,53.1379223311,0.04061873766669803,0.5311475409836081,0.716621253405995,0.20926986925224036
Acer_platanoides,54763,1,8.2108661328,53.1385075062,0.04061873766669803,0.5311475409836081,0.716621253405995,0.20926986925224036
Acer_platanoides,54763,1,8.197724,53.141545,0.040752857283517435,0.5311475409836081,0.716621253405995,0.20743352431320702
Acer_platanoides,54763,1,8.19754,53.141284,0.04054550945762706,0.5311475409836081,0.716621253405995,0.21360364330835904
Acer_platanoides,54763,1,8.196756,53.141086,0.04054550945762706,0.5311475409836081,0.716621253405995,0.21360364330835904
Acer_platanoides,54763,1,8.197598,53.141343,0.04054550945762706,0.5311475409836081,0.716621253405995,0.21360364330835904
Acer_platanoides,54763,1,17.2156746986,52.4173295674,0.02366261468120243,0.5672131147540987,0.6321525885558582,0.287498163655061
Acer_platanoides,54763,1,8.1525888889,53.1719027778,0.04149025163690177,0.5278688524590172,0.716621253405995,0.2739826649037756
Acer_platanoides,54763,1,4.5304583333,52.1588777778,0.05221786326325913,0.5278688524590172,0.768392370572207,0.20258557367415897
Acer_platanoides,54763,1,3.3101888889,51.3473055556,0.04792169208326202,0.537704918032788,0.7847411444141695,0.27221977376230355
Acer_platanoides,54763,1,26.7171611111,58.37965,0.03940404424023767,0.5213114754098371,0.5040871934604906,0.18282650213016013
Acer_platanoides,54763,1,8.763534,50.803499,0.0359360516875397,0.5573770491803278,0.6757493188010905,0.1272954311737917
Acer_platanoides,54763,1,8.676375,50.584016,0.03032737245524123,0.5672131147540987,0.681198910081744,0.13317173497869841
Acer_platanoides,54763,1,8.1896804997,53.1454562997,0.040731635448926294,0.5311475409836081,0.716621253405995,0.20567063317173498
Acer_platanoides,54763,0,25.0155522590982,50.349025239347,0.028366869256955026,0.5836065573770496,0.5803814713896462,0.24937564272072868
Acer_platanoides,54763,0,12.75209572730452,43.28026919646084,0.02921694739087427,0.6950819672131162,0.73024523160763,0.165638313500808
Acer_platanoides,54763,0,30.24211234341476,54.974334353009446,0.03633167344765151,0.544262295081968,0.4877384196185297,0.1935507565741149
Acer_platanoides,54763,0,26.13906910137871,43.6746081499393,0.021223276749540654,0.711475409836067,0.6321525885558582,0.1902453356838549
Acer_platanoides,54763,0,45.32901106549312,61.43083999004864,0.04109438813413636,0.4786885245901647,0.30245231607629497,0.13544880270309978
Acer_platanoides,54763,0,37.117525594602654,50.438698661601535,0.023575119692574392,0.6360655737704929,0.49318801089918335,0.2550315851329514
Acer_platanoides,54763,0,55.42626682203087,40.8438256169036,0.0014413206005065207,0.9344262295081968,0.6021798365122624,0.3251799618040253
Acer_platanoides,54763,0,-114.96633293974824,47.24237246231639,0.019733123513787885,0.5770491803278694,0.5040871934604906,0.17114734831790807
Acer_platanoides,54763,0,39.69545780934211,44.44947055096828,0.038622502130112854,0.6852459016393454,0.6130790190735697,0.1502864698104892
Acer_platanoides,54763,0,36.37524173045824,61.15625032288465,0.05793812456367115,0.5081967213114754,0.4087193460490465,0.407595122667842
Acer_platanoides,54763,0,-104.2476058763576,39.10631189211591,0.012479490543050984,0.6229508196721312,0.5286103542234344,0.3001322168356104
Acer_platanoides,54763,0,-89.48363214229816,41.97196580432998,0.03477978468635985,0.7016393442622962,0.46321525885558595,0.29858968708682243
Acer_platanoides,54763,0,66.77172204631353,51.060894722697334,0.01010164441277733,0.6557377049180327,0.2561307901907359,0.2675187307183782
Acer_platanoides,54763,0,30.3384464945712,62.92597967253478,0.061289585268348136,0.4721311475409847,0.40326975476839283,0.1283972381372117
Acer_platanoides,54763,0,-117.27545455333694,46.46876349852185,0.013717966889182693,0.626229508196722,0.5967302452316088,0.2526076098134274
Acer_platanoides,54763,0,41.200684430331734,40.61102257407738,0.020215592312956186,0.5836065573770496,0.498637602179837,0.27611282503305423
Acer_platanoides,54763,0,32.95128488809377,48.34281071186722,0.020186406841276178,0.6524590163934437,0.5613079019073577,0.2689143528720435
Acer_platanoides,54763,0,-6.3891958792818855,43.37064017408204,0.0776400834616462,0.46557377049180476,0.7220708446866487,0.35918907007492296
Acer_platanoides,54763,0,15.495002160344429,48.15509405654838,0.03195539033744713,0.6131147540983621,0.6158038147138972,0.22785368003525786
Acer_platanoides,54763,0,36.02767958070004,61.22743505239459,0.07529146243299577,0.4983606557377064,0.4386920980926438,0.44042897017775823
Acer_platanoides,54763,0,51.688590681649686,60.7944548180214,0.04794687691217456,0.4721311475409847,0.27247956403269763,0.14352872043484652
Acer_platanoides,54763,0,11.85874035045424,48.70380412450129,0.031677952993988345,0.5704918032786896,0.6376021798365133,0.23982664903775527
Acer_platanoides,54763,0,24.791927071474163,64.17442094344962,0.04544374666092108,0.46557377049180476,0.4087193460490465,0.14991920082268254
Acer_platanoides,54763,0,77.7519429227871,40.44545688468573,0.007856291090154139,0.537704918032788,0.3297002724795647,0.2598060819744381
Acer_platanoides,54763,0,42.97430097299642,40.48110316705686,0.018795619743641228,0.5311475409836081,0.37057220708446936,0.1050389305127075
Acer_platanoides,54763,0,37.131285786160646,56.69040956447132,0.037075313480086386,0.5475409836065589,0.43324250681199017,0.1931100337887469
