y,taxon_id,species_label,lon,lat,chelsa_ai_1981_2010_v_2_1,chelsa_bio10,chelsa_bio6,chelsa_sfc_wind_mean_1981_2010_v_2_1
1,54763,Acer_platanoides,8.2008333333,53.1336111111,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218
1,54763,Acer_platanoides,8.2154738567,53.1125446623,1.263667345046997,16.850000000000023,-0.24999999999994316,3.501
1,54763,Acer_platanoides,8.209084,53.137948,1.2799071073532104,16.750000000000057,-0.3499999999999659,3.309
1,54763,Acer_platanoides,8.0278229722,53.6334719722,1.697537541389465,16.350000000000023,0.6500000000000341,5.0760000000000005
1,54763,Acer_platanoides,10.0348040834,53.3910890172,1.183877944946289,17.05000000000001,-1.0499999999999543,3.536
1,54763,Acer_platanoides,9.9428991973,49.7946742078,0.8057146668434143,18.450000000000045,-2.0499999999999545,2.328
1,54763,Acer_platanoides,11.1131159722,47.48514,1.5509943962097168,16.650000000000034,-7.849999999999966,1.054
1,54763,Acer_platanoides,8.2009301707,53.1336916107,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218
1,54763,Acer_platanoides,8.2009301707,53.1336916107,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218
1,54763,Acer_platanoides,8.1983638889,53.0803611111,1.2572853565216064,16.850000000000023,-0.24999999999994316,4.543
1,54763,Acer_platanoides,8.167057,53.150674,1.2920492887496948,16.750000000000057,-0.3499999999999659,3.932
1,54763,Acer_platanoides,10.7982554,51.8327595,1.1791582107543943,16.150000000000034,-3.249999999999943,2.966
1,54763,Acer_platanoides,8.4744555556,53.2012361111,1.2639789581298828,16.750000000000057,-0.3499999999999659,5.34
1,54763,Acer_platanoides,10.8430143,51.7548578997,1.3033846616744995,15.250000000000057,-3.849999999999966,3.516
1,54763,Acer_platanoides,7.897635,53.284318,1.3526206016540527,16.55000000000001,-0.3499999999999659,5.001
1,54763,Acer_platanoides,8.1642361111,53.1404861111,1.282401204109192,16.750000000000057,-0.3499999999999659,3.493
1,54763,Acer_platanoides,8.2150473997,53.1128525,1.263667345046997,16.850000000000023,-0.24999999999994316,3.501
1,54763,Acer_platanoides,8.1970419,53.1393212997,1.2777043581008911,16.750000000000057,-0.3499999999999659,3.368
1,54763,Acer_platanoides,8.2213691625,53.1887350662,1.3271132707595823,16.650000000000034,-0.3499999999999659,3.532
1,54763,Acer_platanoides,13.3124583333,52.4525027778,0.8690674901008606,18.15000000000003,-1.9499999999999889,2.724
1,54763,Acer_platanoides,8.2454594511,53.1642816007,1.304909586906433,16.650000000000034,-0.3499999999999659,3.613
1,54763,Acer_platanoides,8.2378417254,53.137294036,1.2788445949554443,16.750000000000057,-0.3499999999999659,3.227
1,54763,Acer_platanoides,8.2378064268,53.1373645157,1.2788445949554443,16.750000000000057,-0.3499999999999659,3.227
1,54763,Acer_platanoides,8.2238375862,53.1205118024,1.2685091495513916,16.850000000000023,-0.24999999999994316,3.506
1,54763,Acer_platanoides,8.2169275878,53.1324758858,1.273477554321289,16.750000000000057,-0.3499999999999659,3.265
1,54763,Acer_platanoides,8.1639419538,53.1414829973,1.282401204109192,16.750000000000057,-0.3499999999999659,3.493
1,54763,Acer_platanoides,8.2021126901,53.1380678437,1.2778558731079102,16.750000000000057,-0.3499999999999659,3.218
1,54763,Acer_platanoides,8.1971564094,53.1393281282,1.2777043581008911,16.750000000000057,-0.3499999999999659,3.368
