id,tree_genus
128114162,Unknown
128114310,Unknown
128115551,Unknown
128115647,Unknown
128116244,Phoenix
128116553,Phoenix
128116698,Phoenix
128563867,Californicae
128563913,Unknown
128563946,Unknown
128563992,Unknown
128965496,Unknown
129228380,Acer
129242900,Unknown
129386942,Unknown
129387067,Unknown
129387148,Unknown
129387495,Unknown
129400123,Malus
129806148,Metrosideros
129947670,Unknown
129948207,Phoenix
129948693,Phoenix
130109044,Nothofagus
130220028,Schefflera
130733151,Unknown
130737357,Unknown
130834375,Robinia
130905137,Melia
130906661,Pseudotsuga
130910448,Purifi
130910654,Unknown
131044373,Metrosideros
131044423,Metrosideros
131080701,Sorbus
131164723,Terminalia
131205684,Unknown
131206806,Betula
131302691,Unknown
131302709,Terminalia
131468152,Acer
131469796,Acer
131469976,Unknown
131470462,Acer
131528951,Robinia
131700200,Unknown
131961750,Phoenix
131977087,Vitex
131977088,Vitex
132192776,Unknown
132219211,Unknown
132230216,Olea
132230217,Tilia
132230624,Unknown
132242278,Unknown
132242311,Unknown
132242576,Unknown
132248308,Unknown
132454380,Turdus
132562926,Quercus
132770875,Unknown
132886539,Unknown
133167170,Podocarpus
133186417,Aesculus
133191362,Acer
133201412,Platanus
133303182,Phoenix
133303183,Phoenix
133303184,Unknown
133303186,Unknown
133303188,Unknown
133303189,Phoenix
133303453,Phoenix
133303454,Phoenix
133577609,Memphis
133646520,Prunus
133646702,Acer
133646805,Salix
133647121,Prunus
133701240,Unknown
133884394,Quercus
133918809,Unknown
134011089,Afrixalus
134137808,Unknown
134414244,Calidris
13470656,Unknown
13470658,Ponga
13470659,Ponga
13470662,Cyathea
13475408,Unknown
13475431,Unknown
13475463,Unknown
13475534,Unknown
13475574,Unknown
13475607,Unknown
13475674,Unknown
13475688,Unknown
13475709,Unknown
13475739,Unknown
13475771,Unknown
13475876,Unknown
13475898,Unknown
13475913,Unknown
13475960,Unknown
13476007,Unknown
13476025,Unknown
13508997,Unknown
13509016,Unknown
13509048,Unknown
13509095,Unknown
13509114,Unknown
13509127,Unknown
13509139,Unknown
13509149,Unknown
13509167,Unknown
13509177,Unknown
13509197,Unknown
13509210,Unknown
13509231,Unknown
13509253,Unknown
13509264,Unknown
13509306,Unknown
13509339,Unknown
13509388,Unknown
13509404,Unknown
13509429,Unknown
135132927,Unknown
135235372,Calidris
135322703,Unknown
135353159,Alsophila
135491101,Unknown
135498159,Unknown
135530423,Unknown
135550026,Quercus
135707312,Unknown
135882827,Neonauclea
135969654,Unknown
136016577,Juglans
136088649,Unknown
136130266,Unknown
136132912,Unknown
136132929,Unknown
136239972,Unknown
136313381,Acer
136313482,Acer
136344991,Unknown
136417161,Acer
136451493,Phoenix
136565992,Unknown
136726679,Pinus
136776966,Californicae
136777038,Californicae
136777062,Californicae
136777103,Californicae
136777141,Californicae
136777173,Californicae
136778240,Californicae
136778294,Californicae
136845797,Unknown
136876939,Unknown
136900202,Prunus
137008236,Unknown
137119539,Phoenix
137119540,Phoenix
137247738,Cyathea
13728769,Unknown
13729095,Dicots
137692201,Unknown
137910416,Unknown
138453508,Unknown
138532112,Unknown
138928020,Unknown
138939518,Unknown
138939519,Unknown
139063164,Platanus
139184072,Phoenix
139192840,Phoenix
139256528,Unknown
139299745,Unknown
139299748,Unknown
139299749,Phoenix
139299750,Unknown
139299751,Phoenix
139299752,Phoenix
139303684,Phoenix
139370276,Unknown
139605441,Unknown
139772525,Prosopis
139820288,Metrosideros
139837187,Phoenix
139842231,Unknown
139939634,Unknown
139939663,Vitex
139992220,Sophora
140027076,Phoenix
140029247,Phoenix
140029326,Phoenix
140031855,Quercus
140032424,Unknown
140032425,Unknown
140032426,Unknown
140032427,Unknown
140043350,Phoenix
140048739,Quercus
140129819,Unknown
140177406,Unknown
140295408,Camponotus
140431783,Unknown
140753773,Cervus
140754717,Unknown
140840309,Alsophila
140977247,Unknown
14098293,Cervus
141054142,Unknown
141088239,Unknown
141194163,Quercus
141266539,Unknown
141291778,Unknown
141333458,Unknown
141416427,Bedfordia
141425276,Unknown
141438683,Acer
141450609,Unknown
141463183,Unknown
141471486,Unknown
141476283,Unknown
141527858,Tilia
141531568,Unknown
14157979,Unknown
14158078,Unknown
14158114,Unknown
14158189,Unknown
14158297,Unknown
14158335,Unknown
14158383,Unknown
14158464,Unknown
14158547,Unknown
14158675,Unknown
14158747,Unknown
141593080,Cupressus
141633140,Cervus
141672226,Hoheria
141910643,Quercus
141911087,Salix
141911466,Salix
141919041,Aesculus
141919535,Fraxinus
142013168,Tilia
142110386,Unknown
142117624,Unknown
142164740,Fraxinus
142164936,Fraxinus
142165398,Prunus
142165698,Tilia
142166124,Tilia
142166339,Acer
142166512,Acer
142221001,Turdus
142233571,Turdus
142233887,Acer
142234106,Acer
142234662,Unknown
142234825,Unknown
142235025,Unknown
142235282,Unknown
142235597,Quercus
142235802,Quercus
142236082,Quercus
142236320,Quercus
142236777,Quercus
142236900,Quercus
142237099,Quercus
142237425,Quercus
142278065,Platanus
142278334,Platanus
142278858,Platanus
142550820,Unknown
142550998,Aesculus
142551339,Aesculus
142551624,Aesculus
142551895,Aesculus
142552377,Unknown
142552570,Unknown
142552800,Quercus
142552941,Unknown
142553266,Unknown
142639485,Unknown
1426716,Unknown
142793895,Unknown
142927552,Acer
142928133,Fagus
142929610,Unknown
142930290,Unknown
142930955,Populus
143011433,Palmae
143034093,Quercus
143036452,Corvus
143036757,Mycena
143037372,Acer
143268977,Unknown
143270311,Rhizophora
143273793,Fagus
143273926,Fagus
143340888,Salix
143341162,Acer
143454327,Fraxinus
143499043,Unknown
143527988,Unknown
143538063,Limnodromus
143553715,Unknown
143570690,Fagus
143570906,Fagus
143571066,Fagus
143571276,Fagus
143571460,Fagus
143571644,Fagus
143572169,Fagus
143572632,Castanea
143572953,Castanea
143624349,Dicksonia
143634213,Corylus
143676589,Quercus
143743572,Nothofagus
143787128,Corylus
143800895,Pinus
143801633,Prunus
143809059,Quercus
143810693,Mangifera
143988866,Unknown
144007702,Cervus
144017447,Cervus
144050982,Unknown
144051470,Californicae
144051551,Californicae
144051576,Unknown
144051703,Unknown
144051776,Unknown
144148357,Unknown
144276686,Unknown
144327260,Hedycarya
144516002,Unknown
144591557,Unknown
145104329,Prunus
145163286,Sabal
145264327,Quercus
145354164,Unknown
145559731,Ficus
145560542,Redwood
145576307,Cervus
145583024,Quercus
145583373,Quercus
145837306,Arecaceae
145866676,Unknown
145895548,Nothofagus
145952936,Chestnut
14598469,Unknown
145989635,Unknown
146055569,Terminalia
146055998,Terminalia
146072248,Unknown
146129828,Ulmus
146169984,Cervus
146209731,Nothofagus
146218005,Californicae
14622274,Unknown
146257869,Platanus
146265139,Levenhookia
146267390,Acer
146267630,Acer
146267998,Fraxinus
146272623,Terminalia
146273925,Aesculus
146274451,Tilia
146274662,Acer
146274901,Acer
146294201,Terminalia
146308610,Palmae
146378588,Arecaceae
146396101,Cervus
146746068,Unknown
146748082,Unknown
146748135,Unknown
146748155,Unknown
146748170,Phoenix
146816557,Acer
146816610,Acer
146816825,Tilia
146816965,Acer
146817104,Fraxinus
146817333,Acer
146817454,Acer
146818022,Terminalia
146818025,Terminalia
146820025,Terminalia
146836147,Populus
146847903,Terminalia
146897155,Fraxinus
146969986,Phoenix
146994662,Unknown
147125405,Unknown
147167438,Pseudotsuga
147190625,Betula
147193377,Unknown
147211965,Unknown
147229635,Unknown
147312926,Unknown
147335840,Unknown
147347095,Platanus
147362467,Unknown
14742581,Unknown
147457126,Leptocottus
147514153,Unknown
147514280,Unknown
