site,TreeCat,NumberTrees,siteLat,siteLon,setting,dominanttree1,dominanttree2,dominanttree3,dominanttree4,dominanttree5,dominanttree6,V17,undergrowth,n_epis_per_site,n_sp_per_site,n_epis_per_site_cat,n_sp_per_site_cat,Name,area_ha
S12,90+,5,51.08843,2.59384,Rural,Populus,Fagus,Sambucus,Acer,Castanea,"","","",16,5,6,3,Site12_DePanne,0.367078967515
S13,10 - 30,30,50.65951,1.59683,Rural,Quercus,Pinus,"","","","","","",0,0,0,0,Site13_Boulogne,0.425505590184
S13,30 - 60,20,50.65951,1.59683,Rural,Quercus,Pinus,"","","","","","",0,0,0,0,Site13_Boulogne,0.425505590184
S13,60 - 90,10,50.65951,1.59683,Rural,Quercus,Pinus,"","","","","","",0,0,0,0,Site13_Boulogne,0.425505590184
S13,90+,1,50.65951,1.59683,Rural,Quercus,Pinus,"","","","","","",0,0,0,0,Site13_Boulogne,0.425505590184
S14,10 - 30,30,50.11466,1.74377,Rural,Fagus,Quercus,Betula,"","","","",Ilex,0,0,0,0,Site14_StValery,0.393644434969
S14,30 - 60,29,50.11466,1.74377,Rural,Fagus,Quercus,Betula,"","","","",Ilex,0,0,0,0,Site14_StValery,0.393644434969
S14,60 - 90,22,50.11466,1.74377,Rural,Fagus,Quercus,Betula,"","","","",Ilex,1,1,1,1,Site14_StValery,0.393644434969
S14,90+,2,50.11466,1.74377,Rural,Fagus,Quercus,Betula,"","","","",Ilex,0,0,0,0,Site14_StValery,0.393644434969
S15,10 - 30,0,50.1335389,1.7393024,Rural,Salix,"","","","","","","",0,0,0,0,Site15_StValeryWillows,3.78920769721
S15,30 - 60,23,50.1335389,1.7393024,Rural,Salix,"","","","","","","",24,16,3,3,Site15_StValeryWillows,3.78920769721
S15,60 - 90,11,50.1335389,1.7393024,Rural,Salix,"","","","","","","",24,16,6,6,Site15_StValeryWillows,3.78920769721
S15,90+,9,50.1335389,1.7393024,Rural,Salix,"","","","","","","",24,16,14,12,Site15_StValeryWillows,3.78920769721
S16,10 - 30,20,49.88844,1.17309,Rural,Fagus,Quercus,"","","","","","",0,0,0,0,Site16_Dieppe,0.406247043686
S16,30 - 60,27,49.88844,1.17309,Rural,Fagus,Quercus,"","","","","","",0,0,0,0,Site16_Dieppe,0.406247043686
S16,60 - 90,5,49.88844,1.17309,Rural,Fagus,Quercus,"","","","","","",0,0,0,0,Site16_Dieppe,0.406247043686
S16,90+,0,49.88844,1.17309,Rural,Fagus,Quercus,"","","","","","",0,0,0,0,Site16_Dieppe,0.406247043686
S17,10 - 30,39,49.40466,0.18589,Rural,Ilex,Fagus,Quercus,Betula ,Rhododendron,"","","",8,3,6,1,Site17_Honfleur,0.334949083564
S17,30 - 60,36,49.40466,0.18589,Rural,Ilex,Fagus,Quercus,Betula ,Rhododendron,"","","",0,0,0,0,Site17_Honfleur,0.334949083564
S17,60 - 90,11,49.40466,0.18589,Rural,Ilex,Fagus,Quercus,Betula ,Rhododendron,"","","",8,3,1,1,Site17_Honfleur,0.334949083564
S17,90+,3,49.40466,0.18589,Rural,Ilex,Fagus,Quercus,Betula ,Rhododendron,"","","",8,3,1,1,Site17_Honfleur,0.334949083564
S18,10 - 30,60,49.4047619,0.1858556,Rural,Fraxinus,Betula,Acer,Alnus,Fagus,"","","Hedera,Allium",0,0,0,0,Site18_Dives-sur-mer,0.233837162206
S18,30 - 60,41,49.4047619,0.1858556,Rural,Fraxinus,Betula,Acer,Alnus,Fagus,"","","Hedera,Allium",0,0,0,0,Site18_Dives-sur-mer,0.233837162206
S18,60 - 90,5,49.4047619,0.1858556,Rural,Fraxinus,Betula,Acer,Alnus,Fagus,"","","Hedera,Allium",0,0,0,0,Site18_Dives-sur-mer,0.233837162206
S18,90+,0,49.4047619,0.1858556,Rural,Fraxinus,Betula,Acer,Alnus,Fagus,"","","Hedera,Allium",0,0,0,0,Site18_Dives-sur-mer,0.233837162206
S19,10 - 30,146,49.589478,-1.2467049,Urban,Salix,Alnus,Pinus,Eucalyptus,Phoenix,Trachycarpus,Tamarix,"",50,21,5,3,Site19_Tatihou,5.08886786154
S19,30 - 60,130,49.589478,-1.2467049,Urban,Salix,Alnus,Pinus,Eucalyptus,Phoenix,Trachycarpus,Tamarix,"",50,21,18,10,Site19_Tatihou,5.08886786154
S19,60 - 90,22,49.589478,-1.2467049,Urban,Salix,Alnus,Pinus,Eucalyptus,Phoenix,Trachycarpus,Tamarix,"",50,21,13,6,Site19_Tatihou,5.08886786154
S19,90+,7,49.589478,-1.2467049,Urban,Salix,Alnus,Pinus,Eucalyptus,Phoenix,Trachycarpus,Tamarix,"",50,21,14,8,Site19_Tatihou,5.08886786154
S20,10 - 30,37,49.71196,-2.21001,Rural,Fagus,Acer,Quercus,Castanea,Sambucus,"","","Hedera,Polypodiales",0,0,0,0,Site20_Alderney,0.890708269975
S20,30 - 60,30,49.71196,-2.21001,Rural,Fagus,Acer,Quercus,Castanea,Sambucus,"","","Hedera,Polypodiales",5,3,4,2,Site20_Alderney,0.890708269975
S20,60 - 90,22,49.71196,-2.21001,Rural,Fagus,Acer,Quercus,Castanea,Sambucus,"","","Hedera,Polypodiales",5,3,1,1,Site20_Alderney,0.890708269975
S20,90+,5,49.71196,-2.21001,Rural,Fagus,Acer,Quercus,Castanea,Sambucus,"","","Hedera,Polypodiales",0,0,0,0,Site20_Alderney,0.890708269975
S21,10 - 30,33,49.42511,-2.35531,Rural,Fraxinus,Acer,Sambucus,Crataegus,"","","","Hedera,Polypodiales",0,0,0,0,Site21_Sark,0.368736450903
S21,30 - 60,19,49.42511,-2.35531,Rural,Fraxinus,Acer,Sambucus,Crataegus,"","","","Hedera,Polypodiales",2,1,1,1,Site21_Sark,0.368736450903
S21,60 - 90,12,49.42511,-2.35531,Rural,Fraxinus,Acer,Sambucus,Crataegus,"","","","Hedera,Polypodiales",0,0,0,0,Site21_Sark,0.368736450903
S21,90+,1,49.42511,-2.35531,Rural,Fraxinus,Acer,Sambucus,Crataegus,"","","","Hedera,Polypodiales",2,1,1,1,Site21_Sark,0.368736450903
S22,10 - 30,81,49.46779,-2.44848,Rural,Fraxinus,Cedrus,Eucalyptus,"","","","","",0,0,0,0,Site22_Herm,0.520290259971
S22,30 - 60,11,49.46779,-2.44848,Rural,Fraxinus,Cedrus,Eucalyptus,"","","","","",5,4,1,1,Site22_Herm,0.520290259971
S22,60 - 90,15,49.46779,-2.44848,Rural,Fraxinus,Cedrus,Eucalyptus,"","","","","",0,0,0,0,Site22_Herm,0.520290259971
S22,90+,10,49.46779,-2.44848,Rural,Fraxinus,Cedrus,Eucalyptus,"","","","","",5,4,4,3,Site22_Herm,0.520290259971
S23,10 - 30,55,49.4363576,-2.5379502,Rural,Acer,Fraxinus,"","","","","","Ilex,Polypodiales",6,2,4,1,Site23_Guernsey,0.268763111168
S23,30 - 60,39,49.4363576,-2.5379502,Rural,Acer,Fraxinus,"","","","","","Ilex,Polypodiales",0,0,0,0,Site23_Guernsey,0.268763111168
S23,60 - 90,11,49.4363576,-2.5379502,Rural,Acer,Fraxinus,"","","","","","Ilex,Polypodiales",6,2,2,2,Site23_Guernsey,0.268763111168
S23,90+,3,49.4363576,-2.5379502,Rural,Acer,Fraxinus,"","","","","","Ilex,Polypodiales",0,0,0,0,Site23_Guernsey,0.268763111168
S24,10 - 30,68,49.2235024,-2.0409439,Rural,Fagus,Quercus,"","","","","","Hedera,Ilex,Polypodiales",25,6,13,3,Site24_Jersey,0.364481592354
S24,30 - 60,43,49.2235024,-2.0409439,Rural,Fagus,Quercus,"","","","","","Hedera,Ilex,Polypodiales",25,6,11,6,Site24_Jersey,0.364481592354
S24,60 - 90,4,49.2235024,-2.0409439,Rural,Fagus,Quercus,"","","","","","Hedera,Ilex,Polypodiales",25,6,1,1,Site24_Jersey,0.364481592354
S24,90+,1,49.2235024,-2.0409439,Rural,Fagus,Quercus,"","","","","","Hedera,Ilex,Polypodiales",0,0,0,0,Site24_Jersey,0.364481592354
S25,10 - 30,57,48.6920164,-1.8508795,Rural,Castanea,Quercus,Rubus,Pinus,"","","","Hedera,Polypodiales",0,0,0,0,Site25_Cancale,0.995453326532
S25,30 - 60,56,48.6920164,-1.8508795,Rural,Castanea,Quercus,Rubus,Pinus,"","","","Hedera,Polypodiales",0,0,0,0,Site25_Cancale,0.995453326532
S25,60 - 90,18,48.6920164,-1.8508795,Rural,Castanea,Quercus,Rubus,Pinus,"","","","Hedera,Polypodiales",0,0,0,0,Site25_Cancale,0.995453326532
S25,90+,8,48.6920164,-1.8508795,Rural,Castanea,Quercus,Rubus,Pinus,"","","","Hedera,Polypodiales",0,0,0,0,Site25_Cancale,0.995453326532
S26,10 - 30,100,48.2086909,-4.5127166,Rural,Pinus,"","","","","","","Erica,Ulex",0,0,0,0,Site26_Crozon,0.374312248761
S26,30 - 60,3,48.2086909,-4.5127166,Rural,Pinus,"","","","","","","Erica,Ulex",0,0,0,0,Site26_Crozon,0.374312248761
S26,60 - 90,0,48.2086909,-4.5127166,Rural,Pinus,"","","","","","","Erica,Ulex",0,0,0,0,Site26_Crozon,0.374312248761
S26,90+,0,48.2086909,-4.5127166,Rural,Pinus,"","","","","","","Erica,Ulex",0,0,0,0,Site26_Crozon,0.374312248761
S27,10 - 30,223,48.212261,-4.5106993,Rural,Pinus,"","","","","","","Erica,Ulex",0,0,0,0,Site27_Crozon,0.246000946371
S27,30 - 60,5,48.212261,-4.5106993,Rural,Pinus,"","","","","","","Erica,Ulex",0,0,0,0,Site27_Crozon,0.246000946371
S27,60 - 90,0,48.212261,-4.5106993,Rural,Pinus,"","","","","","","Erica,Ulex",0,0,0,0,Site27_Crozon,0.246000946371
S27,90+,0,48.212261,-4.5106993,Rural,Pinus,"","","","","","","Erica,Ulex",0,0,0,0,Site27_Crozon,0.246000946371
S28,10 - 30,61,48.0353798,-4.5461875,Rural,Castanea,Quercus,Fagus,Ilex,Picea,"","","",4,2,2,2,Site28_Audierne,0.278096606951
S28,30 - 60,30,48.0353798,-4.5461875,Rural,Castanea,Quercus,Fagus,Ilex,Picea,"","","",4,2,2,1,Site28_Audierne,0.278096606951
